Msg;Arquivo;Entregadores;Mutation;Cross;Fitness
Concluido;Extras.txt;2;EM;OBX;109560
Concluido;Extras.txt;2;EM;PBX;109560
Concluido;Extras.txt;2;DIVM;OBX;109560
Concluido;Extras.txt;2;DIVM;PBX; 109560
Concluido;Extras.txt;2;DM;OBX;109560
Concluido;Extras.txt;2;DM;PBX;109560
Concluido;Extras.txt;2;IM;OBX;109560
Concluido;Extras.txt;2;IM;PBX;109560
Concluido;Extras.txt;2;IVM;OBX;109560
Concluido;Extras.txt;2;IVM;PBX;109560
Concluido;Extras.txt;2;SM;OBX;109560
Concluido;Extras.txt;2;SM;PBX;109560
Concluido;MacDonalts.txt;1;EM;OBX;43320
Concluido;MacDonalts.txt;1;EM;PBX;43320
Concluido;MacDonalts.txt;1;DIVM;OBX;43320
Concluido;MacDonalts.txt;1;DIVM;PBX;43320
Concluido;MacDonalts.txt;1;DM;OBX;43320
Concluido;MacDonalts.txt;1;DM;PBX;43320
Concluido;MacDonalts.txt;1;IM;OBX;43320
Concluido;MacDonalts.txt;1;IM;PBX;43320
Concluido;MacDonalts.txt;1;IVM;OBX;43320
Concluido;MacDonalts.txt;1;IVM;PBX;43320
Concluido;MacDonalts.txt;1;SM;OBX;43320
Concluido;MacDonalts.txt;1;SM;PBX;43320
Concluido;Senacs.txt;3;EM;OBX;311876
Concluido;Senacs.txt;3;EM;PBX;311876
Concluido;Senacs.txt;3;DIVM;OBX;311876
Concluido;Senacs.txt;3;DIVM;PBX;311876
Concluido;Senacs.txt;3;DM;OBX;311876
Concluido;Senacs.txt;3;DM;PBX;311876
Concluido;Senacs.txt;3;IM;OBX;311876
Concluido;Senacs.txt;3;IM;PBX;311876
Concluido;Senacs.txt;3;IVM;OBX;311876
Concluido;Senacs.txt;3;IVM;PBX;311876
Concluido;Senacs.txt;3;SM;OBX;311876
Concluido;Senacs.txt;3;SM;PBX;311876
Concluido;Turisticos.txt;1;EM;OBX;84573
Concluido;Turisticos.txt;1;EM;PBX;84573
Concluido;Turisticos.txt;1;DIVM;OBX;84573
Concluido;Turisticos.txt;1;DIVM;PBX;84573
Concluido;Turisticos.txt;1;DM;OBX;84573
Concluido;Turisticos.txt;1;DM;PBX;84573
Concluido;Turisticos.txt;1;IM;OBX;84573
Concluido;Turisticos.txt;1;IM;PBX;84573
Concluido;Turisticos.txt;1;IVM;OBX;84573
Concluido;Turisticos.txt;1;IVM;PBX;84573
Concluido;Turisticos.txt;1;SM;OBX;84573
Concluido;Turisticos.txt;1;SM;PBX;84573
Concluido;Uninoves.txt;2;EM;OBX;190656
Concluido;Uninoves.txt;2;EM;PBX;190656
Concluido;Uninoves.txt;2;DIVM;OBX;190656
Concluido;Uninoves.txt;2;DIVM;PBX;190656
Concluido;Uninoves.txt;2;DM;OBX;190656
Concluido;Uninoves.txt;2;DM;PBX;190656
Concluido;Uninoves.txt;2;IM;OBX;190656
Concluido;Uninoves.txt;2;IM;PBX;190656
Concluido;Uninoves.txt;2;IVM;OBX;190656
Concluido;Uninoves.txt;2;IVM;PBX;190656
Concluido;Uninoves.txt;2;SM;OBX;190656
Concluido;Uninoves.txt;2;SM;PBX;190656
